URMAS REINSALU; IE; 2111
HELIR-VALDOR SEEDER; IE; 1424
AIVAR KOKK; IE; 1767
TÕNIS LUKAS; IE; 1225
PRIIT SIBUL; IE; 789
RIINA SOLMAN; IE; 869
ANDRES METSOJA; IE; 902
MART MAASTIK; IE; 441
RAIMOND KALJULAID; SDE; 668
JEVGENI OSSINOVSKI; SDE; 963
HELMEN KÜTT; SDE; 1149
ANTI ALLAS; SDE; 1015
REILI RAND; SDE; 516
EDUARD ODINETS; SDE; 299
HELJO PIKHOF; SDE; 718
HENN PÕLLUAAS; EKRE; 3932
SIIM POHLAK; EKRE; 3085
MART HELME; EKRE; 4580
MARTIN HELME; EKRE; 3289
VARRO VOOGLAID; EKRE; 1894
LEO KUNNAS; EKRE; 2307
RENE KOKK; EKRE; 728
RAUL SIEM; EKRE; 381
HELLE-MOONIKA HELME; EKRE; 2444
KRISTJAN MOORA; EKRE; 885
ANTI POOLAMETS; EKRE; 1958
KALLE GRÜNTHAL; EKRE; 1120
KERT KINGO; EKRE; 2339
PEETER ERNITS; EKRE; 2067
JAAK VALGE; EKRE; 1727
SILVER KUUSIK; EKRE; 651
RAIN EPLER; EKRE; 2531
ANTS FROSCH; EKRE; 1970
HELEN REBANE; EKRE; 928
ALAR LANEMAN; EKRE; 1337
EVELIN POOLAMETS; EKRE; 715
ARVO ALLER; EKRE; 538
EEVA HELME; EKRE; 1152
URMAS REITELMANN; EKRE; 1051
MERRY AART; EKRE; 628
MARKUS JÄRVI; EKRE; 715
VALMAR HAAVA; EKRE; 484
MAREK REINAAS; EE200; 663
LAURI HUSSAR; EE200; 1092
TOOMAS UIBO; EE200; 864
GRIGORE-KALEV STOICESCU; EE200; 1236
HENDRIK JOHANNES TERRAS; EE200; 269
KADRI TALI; EE200; 1026
TARMO TAMM; EE200; 394
DIANA INGERAINEN; EE200; 310
JUKU-KALLE RAID; EE200; 474
TANEL TEIN; EE200; 610
SIIM KALLAS; REF; 2240
MARIS LAURI; REF; 1069
MARKO MIHKELSON; REF; 683
TIMO SUSLOV; REF; 364
AIVAR SÕERD; REF; 352
JÜRGEN LIGI; REF; 2061
URMAS KRUUSE; REF; 1986
ANTS LAANEOTS; REF; 721
LIINA KERSNA; REF; 1448
TOOMAS KIVIMÄGI; REF; 1781
ERKKI KELDO; REF; 459
KARMEN JOLLER; REF; 882
EERIK-NIILES KROSS; REF; 445
VILJA TOOMAST; REF; 403
KRISTINA ŠMIGUN-VÄHI; REF; 305
YOKO ALENDER; REF; 624
MATI RAIDMA; REF; 294
SIGNE KIVI; REF; 458
URVE TIIDUS; REF; 672
ANNELY AKKERMANN; REF; 1742
ANDRES SUTT; REF; 735
KRISTO ENN VAGA; REF; 141
MIHKEL LEES; REF; 352
JÜRI RATAS; KESK; 4674
LAURI LAATS; KESK; 4494
VADIM BELOBROVTSEV; KESK; 2372
ANASTASSIA KOVALENKO-KÕLVART; KESK; 2097
TANEL KIIK; KESK; 1255
ALEKSANDR TŠAPLÕGIN; KESK; 1532
MARIA JUFEREVA-SKURATOVSKI; KESK; 618
TÕNIS MÖLDER; KESK; 376
ARKADI POPOV; KESK; 884
VLADIMIR ARHIPOV; KESK; 829
JAANUS KARILAID; KESK; 1408
SIRET KOTKA; KESK; 1015
ALEKSEI JEVGRAFOV; KESK; 1066
JAAK AAB; KESK; 969
TAAVI AAS; KESK; 1096
JAAN TOOTS; KESK; 405
ESTER KARUSE; KESK; 1107
ANDREI KOROBEINIK; KESK; 1366
ANDRE HANIMÄGI; KESK; 306
KERSTI SARAPUU; KESK; 438
ENN EESMAA; KESK; 505
DMITRI DMITRIJEV; KESK; 613
VLADIMIR AFANASJEV; KESK; 321
TARMO TAMM; KESK; 822
AIVO PETERSON; EÜVP; 3376
MIHHAIL STALNUHHIN; ÜKSIK; 3775
